date,fund,return,growth_of_1,drawdown
2021-04-08,Combined Equal Weight,0.010035511307399434,1.5713470687042779,-0.0037271441416264484
2021-04-09,Combined Equal Weight,-0.0022646376081477187,1.5677885370370375,-0.005983341118980134
2021-04-12,Combined Equal Weight,-0.00014566428523633758,1.5675601662403882,-0.006128133845109018
2021-04-13,Combined Equal Weight,0.0197269451628339,1.598483339679255,0.0
2021-04-14,Combined Equal Weight,0.0071798581772897566,1.6099602233569126,0.0
2021-04-15,Combined Equal Weight,0.018026410097255228,1.6389820265834127,0.0
2021-04-16,Combined Equal Weight,0.010810640530123879,1.6567004721081398,0.0
2021-04-19,Combined Equal Weight,-0.013429808386374403,1.6344513022141114,-0.01342980838637442
2021-04-20,Combined Equal Weight,-0.0017194123355581928,1.6316410064832154,-0.015126129343728811
2021-04-21,Combined Equal Weight,0.002052752340624871,1.6349903613783334,-0.013104427200518853
2021-04-22,Combined Equal Weight,-0.01619857718772049,1.6085058438083675,-0.029090731312730878
2021-04-23,Combined Equal Weight,0.004644271415590373,1.6159761815205766,-0.024581565149034867
2021-04-26,Combined Equal Weight,0.026003937241607523,1.6579979247287702,0.0
2021-04-27,Combined Equal Weight,0.007995005006577837,1.6712536264378723,0.0
2021-04-28,Combined Equal Weight,0.0006928192729146093,1.6724115031601967,0.0
2021-04-29,Combined Equal Weight,0.005640496360681095,1.681844734157333,0.0
2021-04-30,Combined Equal Weight,0.007084977550949063,1.6937605663430197,0.0
2021-05-03,Combined Equal Weight,0.015444054543423336,1.719919096913121,0.0
2021-05-04,Combined Equal Weight,-0.005648499007211,1.7102041356017241,-0.005648499007210983
2021-05-05,Combined Equal Weight,0.04372333086818185,1.7849799568747713,0.0
2021-05-06,Combined Equal Weight,0.02255009727366065,1.8252314285338322,0.0
2021-05-07,Combined Equal Weight,0.0018000016406711852,1.8285168480997978,0.0
2021-05-10,Combined Equal Weight,-0.014161891036241459,1.8026215917390769,-0.014161891036241436
2021-05-11,Combined Equal Weight,0.012826295389902967,1.8257425487509393,-0.0015172402440488675
2021-05-12,Combined Equal Weight,-0.0431285166313494,1.7470009808725722,-0.04458032055429906
2021-05-13,Combined Equal Weight,0.017429437963871506,1.7774502260915133,-0.02792789252193828
2021-05-14,Combined Equal Weight,0.020617598770978452,1.8140969816884531,-0.007886099833496085
