trading_date,ticker,sector,article_count,text,word_count
2020-02-20,DOW,Materials,6,"Aqueous Polyurethane Resins Market —…—… dynamics (drivers, restraints, opportunities), ... | Dow Movers: INTC, DOW | Muhlenkamp & Co Inc Buys Bristol-Myers Squibb Company, Dow Inc, Lennar Corp, Sells Celgene ... | Polyurethane Based Thermal Conductive Adhesives Market —…—…: Industry Size, Share, ... | Post-Emergence Dicamba Herbicide Market —…—… Industry Share, Size, Industry Analysis, ... | Silicone Based Electrically Conductive Adhesives Market —…—…: Industry Overview by ...",67
2020-02-20,NEM,Materials,11,"Earnings Scheduled For February 20, 2020 | Gold Hits Seven Year High As Investors Look For Safe Havens, Even As Stock Prices Continue Higher | Newmont CEO Sees Proceeds Up To $300M From Potential Asset Sales, Including Equity Portfolio, Australia Power Business | Newmont Goldcorp Q4 EPS $0.5 Beats $0.47 Estimate, Sales $2.967B Miss $2.97B Estimate | Newmont Mining Corp. Q4 adjusted earnings Beat Estimates | Newmont Mining Q4 19 Earnings Conference Call At 10:00 AM ET | Newmont Q4 Results Beat View | Newmont shares are trading higher after the company reported better-than-expected Q4 EPS results. | Notable ETF Inflow Detected - USMV, NEM, NEE, KO | Noteworthy Thursday Option Activity: NEM, INTC, ADSK | Stocks That Hit 52-Week Highs On Thursday",123
2020-02-20,AMT,RealEstate,3,"Host Hotels' (HST) Q4 FFO and Revenues Trump Estimates | PS Business Parks (PSB) Q4 FFO and Revenues Beat Estimates | Realty Income (O) Q4 FFO & Revenues Top Estimates, Rents Up",32
2020-02-20,CCI,RealEstate,1,Stocks That Hit 52-Week Highs On Thursday,7
2020-02-20,O,RealEstate,4,"Realty Income (O) Q4 FFO & Revenues Top Estimates, Rents Up | Realty Income Corp (O) Q4 2019 Earnings Call Transcript | Realty Income shares are trading higher after the company reported better-than-expected Q4 EPs and sales results. | Stocks That Hit 52-Week Highs On Thursday",46
2020-02-20,PSA,RealEstate,5,"Global Automotive Engine Market is expected to grow USD 86.48 Billion by —…—' | Host Hotels' (HST) Q4 FFO and Revenues Trump Estimates | PS Business Parks (PSB) Q4 FFO and Revenues Beat Estimates | Realty Income (O) Q4 FFO & Revenues Top Estimates, Rents Up | Vanguard Real Estate ETF Experiences Big Inflow",54
2020-02-20,ADBE,Tech,1,Stocks That Hit 52-Week Highs On Thursday,7
2020-02-20,AMD,Tech,7,"3 Ways to Bank on Volatile Stocks | AMD Approaching Levels That Present More Balanced Risk-Reward, Analyst Says | Advanced Micro Devices shares are trading lower after Wells Fargo downgraded the stock from Overweight to Equal-Weight and announced a $64 price target. | Is AMD Stock a Buy? | Price Matters for Plug Power Stock | UPDATE: Wells Fargo Downgrades Advanced Micro Devices to Equal-Weight, Announces $64 Price Target As Firm Notes 'we view shares offering a balanced risk/reward at current levels.' | Wells Fargo Downgrades Advanced Micro Devices to Equal-Weight, Announces $64 Price Target",95
2020-02-20,INTC,Tech,15,"5 Top-Ranked Semiconductor Stocks to Buy in 2020 | 7 Strong Value Stocks to Buy for 2020 | Chip Stocks To Consider As the Market Wavers | Dow Jones Craters 350 Points Intraday On Profit-Taking; Domino's Holds Gains Bullishly After Breakout | Dow Jones News: Disney Down on Six Flags Disaster; Intel Leads Dow Lower | Dow Jones Today: The Coronavirus Takes a Toll | Is AMD Stock a Buy? | Is Intel (INTC) Stock a Solid Choice Right Now? | Is Qualcomm Stock a Buy? | Most Active Equity Options For Midday - Thursday, Feb. 20 | Noteworthy Thursday Option Activity: NEM, INTC, ADSK | Samsung Begins 7nm Chip Production: Should AMD & Intel Worry? | The Zacks Analyst Blog Highlights: Microsoft, International Business Machines, Intel, Apple and Amazon.com | The Zacks Analyst Blog Highlights: Nvidia, AMD, TSMC and Intel | US Indexes Close Lower Thursday",147
2020-02-20,NVDA,Tech,4,78 Biggest Movers From Yesterday | China Stimulus Doesn't Translate Into US Strength As Deere Prepares To Report Friday | Shares of several semiconductor companies are trading lower potentially on coronavirus fears. NOTE: The market had a sharp selloff. Not seeing any news to justify the bearish price action. | Stocks That Hit 52-Week Highs On Thursday,57
2020-02-20,QCOM,Tech,3,China’s Coronavirus Brings the Qualcomm Quagmire Back in Focus | Is Qualcomm Stock a Buy? | What if Qualcomm Stock Is Priced About Right?,24
2020-02-20,AEP,Utilities,3,American Electric Power Co Inc Q4 adjusted earnings Beat Estimates | American Electric Power Q4 19 Earnings Conference Call At 9:00 AM ET | American Electric Power Q4 Profit Tops Estimates; Affirms 2020 Earnings Guidance,35
2020-02-20,D,Utilities,3,"American Electric (AEP) Q4 Earnings In Line, Revenues Fall Y/Y | BMO Capital Initiates Coverage On Dominion Energy with Market Perform Rating, Announces $91 Price Target | Eversource (ES) Q4 Earnings and Revenues Miss Estimates",35
2020-02-20,DUK,Utilities,3,"American Electric (AEP) Q4 Earnings In Line, Revenues Fall Y/Y | Southern (SO) Beats on Q4 Earnings, Sticks to Vogtle Timeline | T. Rowe Price Equity Income Fund Comments on Duke Energy",32
2020-02-20,NEE,Utilities,5,"American Electric (AEP) Q4 Earnings In Line, Revenues Fall Y/Y | BMO Capital Initiates Coverage On NextEra Energy with Outperform Rating, Announces $290 Price Target | Eversource (ES) Q4 Earnings and Revenues Miss Estimates | Notable ETF Inflow Detected - USMV, NEM, NEE, KO | The Zacks Analyst Blog Highlights: Facebook, Netflix, NextEra Energy, GlaxoSmithKline and T-Mobile US",58
2020-02-20,SO,Utilities,13,"10 Stocks To Watch For February 20, 2020 | CFRA Maintains Hold on Southern, Raises Price Target to $66 | Earnings Scheduled For February 20, 2020 | Gold Hits Seven Year High As Investors Look For Safe Havens, Even As Stock Prices Continue Higher | Southern (SO) Beats on Q4 Earnings, Sticks to Vogtle Timeline | Southern Co (SO) Q4 2019 Earnings Call Transcript | Southern Co. Q4 adjusted earnings Inline With Estimates | Southern Company (SO) Q4 Earnings Top, Revenues Miss | Southern Q4 19 Earnings Conference Call At 1:00 PM ET | Southern Q4 EPS $0.27, Inline, Sales $4.914B Miss $5.29B Estimate | Stay warm and save energy as temperatures drop across Georgia | T. Rowe Price Equity Income Fund Comments on Southern Co. | T. Rowe Price Equity Income Fund's —…–9 Annual Shareholder Letter",137
2020-02-21,CMCSA,Comm,2,Comcast Seeks to Buy Vudu From Walmart | DISH Network Quarterly Numbers Say It Needs to Grow Its Wireless Business ... and Fast,23
2020-02-21,T,Comm,3,1 Trend That Exposes the Massive Vulnerability of Traditional Pay-TV Providers | 3 Dividend Stocks That Pay You More Than PepsiCo Does | DISH Network Quarterly Numbers Say It Needs to Grow Its Wireless Business ... and Fast,38
2020-02-21,TMUS,Comm,2,"3 Dividend Stocks That Pay You More Than PepsiCo Does | Raymond James Downgrades T-Mobile US to Outperform, Raises Price Target to $107",23
